OBJECTID_1,GEOID,STUSAB,NAME,B25002EST1,B25002EST2,B25002EST2_PCT,B25002EST3,B25002EST3_PCT,B25009EST2,B25009EST2_PCT,B25009EST3,B25009EST3_PCT,B25009EST4,B25009EST4_PCT,B25009EST5,B25009EST5_PCT,B25009EST6,B25009EST6_PCT,B25009EST7,B25009EST7_PCT,B25009_OWNOCC_6PLUS,B25009_OWN_6PLUS_PCT,B25009EST10,B25009EST10_PCT,B25009EST11,B25009EST11_PCT,B25009EST12,B25009EST12_PCT,B25009EST13,B25009EST13_PCT,B25009EST14,B25009EST14_PCT,B25009EST15,B25009EST15_PCT,B25009_RENTOCC_6PLUS,B25009_RENT_6PLUS_PCT,B25009_TOT_1,B25009_TOT_1_PCT,B25009_TOT_2,B25009_TOT_2_PCT,B25009_TOT_3,B25009_TOT_3_PCT,B25009_TOT_4,B25009_TOT_4_PCT,B25009_TOT_5,B25009_TOT_5_PCT,B25009_TOT_6PLUS,B25009_TOT_6PLUS_PCT,B25037EST3,B25041EST2,B25041EST2_PCT,B25041EST3,B25041EST3_PCT,B25041EST4,B25041EST4_PCT,B25041_3PLUS_BDR,B25041_3PLUS_BDR_PCT,B25021EST1,B25021EST2,B25021EST3,B25024EST2,B25024EST2_PCT,B25024EST3,B25024EST3_PCT,B25024_2TO4,B25024_2TO4_PCT,B25024_5TO19,B25024_5TO19_PCT,B25024_20PLUS,B25024_20PLUS_PCT,B25024_OTHER,B25024_OTHER_PCT,B25032EST2,B25032EST3,B25032EST3_PCT,B25032EST4,B25032EST4_PCT,B25032_OWN_2TO4,B25032_OWN_2TO4_PCT,B25032_OWN_5TO19,B25032_OWN_5TO19_PCT,B25032_OWN_20PLUS,B25032_OWN_20PLUS_PCT,B25032_OWN_OTHER,B25032_OWN_OTHER_PCT,B25032EST13,B25032EST14,B25032EST14_PCT,B25032EST15,B25032EST15_PCT,B25032_RENT_2TO4,B25032_RENT_2TO4_PCT,B25032_RENT_5TO19,B25032_RENT_5TO19_PCT,B25032_RENT_20PLUS,B25032_RENT_20PLUS_PCT,B25032_RENT_OTHER,B25032_RENT_OTHER_PCT,B25036_OWN_2KPLUS,B25036_OWN_2KPLUS_PCT,B25036_OWN_80TO99,B25036_OWN_80TO99_PCT,B25036_OWN_50TO79,B25036_OWN_50TO79_PCT,B25036_OWN_49MINUS,B25036_OWN_49MINUS_PCT,B25036_RENT_2KPLUS,B25036_RENT_2KPLUS_PCT,B25036_RENT_80TO99,B25036_RENT_80TO99_PCT,B25036_RENT_50TO79,B25036_RENT_50TO79_PCT,B25036_RENT_49MINUS,B25036_RENT_49MINUS_PCT,B25036_RENT_80MINUS,B25036_RENT_80MINUS_PCT,B25036_TOT_2KPLUS,B25036_TOT_2KPLUS_PCT,B25036_TOT_80TO99,B25036_TOT_80TO99_PCT,B25036_TOT_50TO79,B25036_TOT_50TO79_PCT,B25036_TOT_49MINUS,B25036_TOT_49MINUS_PCT,B25068EST2,B25068EST2_PCT,B25068EST4,B25068EST4_PCT,B25068_0BDR_200TO499,B25068_0BDR_200TO499_PCT,B25068_0BDR_500TO999,B25068_0BDR_500TO999_PCT,B25068EST9,B25068EST9_PCT,B25068EST10,B25068EST10_PCT,B25068EST11,B25068EST11_PCT,B25068EST13,B25068EST13_PCT,B25068_1BDR_200TO499,B25068_1BDR_200TO499_PCT,B25068_1BDR_500TO999,B25068_1BDR_500TO999_PCT,B25068EST18,B25068EST18_PCT,B25068EST19,B25068EST19_PCT,B25068EST20,B25068EST20_PCT,B25068EST22,B25068EST22_PCT,B25068_2BDR_200TO499,B25068_2BDR_200TO499_PCT,B25068_2BDR_500TO999,B25068_2BDR_500TO999_PCT,B25068EST27,B25068EST27_PCT,B25068EST28,B25068EST28_PCT,B25068EST29,B25068EST29_PCT,B25068EST31,B25068EST31_PCT,B25068_3PLUSBDR_200TO499,B25068_3PLUSBDR_200TO499_PCT,B25068_3PLUSBDR_500TO999,B25068_3PLUSBDR_500TO999_PCT,B25068EST36,B25068EST36_PCT,B25068EST37,B25068EST37_PCT,B25056_500MINUS,B25056_500MINUS_PCT,B25056_500TO599,B25056_500TO599_PCT,B25056_600TO699,B25056_600TO699_PCT,B25056_700TO799,B25056_700TO799_PCT,B25056EST18,B25056EST18_PCT,B25056EST19,B25056EST19_PCT,B25056EST20,B25056EST20_PCT,B25056EST21,B25056EST21_PCT,B25056EST22,B25056EST22_PCT,B25056EST23,B25056EST23_PCT,B25056EST24,B25056EST24_PCT,B25058EST1,B25042EST3,B25042EST3_PCT,B25042EST4,B25042EST4_PCT,B25042EST5,B25042EST5_PCT,B25042_OWN_3PLUS_BDR,B25042_OWN_3PLUS_BDR_PCT,B25042EST10,B25042EST10_PCT,B25042EST11,B25042EST11_PCT,B25042EST12,B25042EST12_PCT,B25042_RENT_3PLUS_BDR,B25042_RENT_3PLUS_BDR_PCT,B25097EST1,B25097EST2,B25097EST3,B25123_TOT,B25123_TOT_1,B25123_TOT_2,B25123_TOT_3,B25123_TOT_4,B25123EST3,B25123EST3_PCT,B25123EST4,B25123EST4_PCT,B25123EST5,B25123EST5_PCT,B25123EST6,B25123EST6_PCT,B25123EST7,B25123EST7_PCT,B25123EST9,B25123EST9_PCT,B25123EST10,B25123EST10_PCT,B25123EST11,B25123EST11_PCT,B25123EST12,B25123EST12_PCT,B25123EST13,B25123EST13_PCT,Shape__Area,Shape__Length
38,55,WI,Wisconsin,2709444,2377935,87.76,331509,12.24,1596500,67.14,364490,22.83,662203,41.48,224305,14.05,209835,13.14,89800,5.62,45867,2.87,781435,32.86,351258,44.95,217921,27.89,95598,12.23,64935,8.31,31394,4.02,20329,2.6,715748,30.1,880124,37.01,319903,13.45,274770,11.55,121194,5.1,66196,2.78,1973,57402,2.12,260698,9.62,767623,28.33,1623721,59.93,5.7,6.4,4.2,1804037,66.58,114519,4.23,269606,9.95,225149,8.31,204374,7.54,91759,3.39,1596500,1416168,88.7,59184,3.71,41188,2.58,15508,0.97,13484,0.84,50968,3.19,781435,164940,21.11,48053,6.15,194885,24.94,189066,24.19,171286,21.92,13205,1.69,285717,17.9,373336,23.38,559851,35.07,377596,23.65,116414,14.9,193074,24.71,274366,35.11,197581,25.28,471947,60.39,402131,16.91,566410,23.82,834217,35.08,575177,24.19,37553,4.81,1743,4.64,5695,15.17,22331,59.47,7194,517005.39,590,1.57,190139,24.33,16024,8.43,23735,12.48,112259,59.04,35465,18.65,2656,1.4,346218,44.31,4337,1.25,11480,3.32,210226,60.72,110084,31.8,10091,2.91,207525,26.56,2068,1,6539,3.15,75025,36.15,106167,51.16,17726,8.54,118466,15.16,89898,11.5,118190,15.12,114288,14.63,89512,11.45,61984,7.93,81270,10.4,39253,5.02,23574,3.02,13937,1.78,31063,3.98,741,2852,0.18,28489,1.78,293868,18.41,1271291,79.63,37553,4.81,190139,24.33,346218,44.31,207525,26.56,189200,196500,174600,1753968,596700,23360,3694,213,291708,18.27,5414,0.34,1478,0.09,172,0.01,1297728,81.29,304992,39.03,17946,2.3,2216,0.28,41,0.01,456240,58.38,287223527117.309,4094552.26534585
39,54,WV,West Virginia,893615,734235,82.16,159380,17.84,540786,73.65,141973,26.25,216869,40.1,85031,15.72,60909,11.26,23905,4.42,12099,2.24,193449,26.35,79735,41.22,53883,27.85,28664,14.82,18931,9.79,7984,4.13,4252,2.2,221708,30.2,270752,36.88,113695,15.48,79840,10.87,31889,4.34,16351,2.23,1974,16789,1.88,63970,7.16,245831,27.51,567025,63.45,5.9,6.3,4.7,635093,71.07,20016,2.24,43047,4.82,41092,4.6,23312,2.61,131055,14.67,540786,452317,83.64,10045,1.86,2224,0.41,1285,0.24,679,0.13,74236,13.73,193449,78880,40.78,7378,3.81,30112,15.57,32079,16.58,18201,9.41,26799,13.85,94113,17.4,139783,25.85,193564,35.79,113326,20.96,25052,12.95,52291,27.03,72132,37.29,43974,22.73,116106,60.02,119165,16.23,192074,26.16,265696,36.19,157300,21.42,7278,3.76,1458,20.03,1286,17.67,3326,45.7,796,60602.61,412,5.66,34633,17.9,6514,18.81,7029,20.3,17271,49.87,1575,4.55,2244,6.48,78261,40.46,3373,4.31,8340,10.66,45916,58.67,9593,12.26,11039,14.11,73277,37.88,1215,1.66,4521,6.17,29257,39.93,20684,28.23,17600,24.02,67721,35.01,27094,14.01,22629,11.7,15603,8.07,9711,5.02,5717,2.96,7518,3.89,2983,1.54,2344,1.21,834,0.43,31295,16.18,543,1402,0.26,10057,1.86,106566,19.71,422761,78.18,7278,3.76,34633,17.9,78261,40.46,73277,37.88,123200,151000,99000,576782,151923,5099,431,0,78907,14.59,2106,0.39,224,0.04,0,0,459549,84.98,73016,37.74,2993,1.55,207,0.11,0,0,117233,60.6,103045932406.051,2614068.36439816
40,56,WY,Wyoming,278495,233231,83.75,45264,16.25,165530,70.97,39691,23.98,68434,41.34,21499,12.99,20202,12.2,9619,5.81,6085,3.68,67701,29.03,27487,40.6,19431,28.7,9778,14.44,6038,8.92,3286,4.85,1681,2.48,67178,28.8,87865,37.67,31277,13.41,26240,11.25,12905,5.53,7766,3.33,1978,5298,1.9,22229,7.98,67390,24.2,183578,65.92,6,6.7,4.4,186599,67,12765,4.58,18459,6.63,15623,5.61,9227,3.31,35822,12.86,165530,136095,82.22,6704,4.05,1559,0.94,450,0.27,130,0.08,20592,12.44,67701,25191,37.21,4702,6.95,12392,18.3,10959,16.19,7228,10.68,7229,10.68,40337,24.37,43748,26.43,59085,35.69,22360,13.51,11842,17.49,19063,28.16,24219,35.77,12577,18.58,36796,54.35,52179,22.37,62811,26.93,83304,35.72,34937,14.98,2123,3.14,160,7.54,377,17.76,1194,56.24,371,12711.49,21,0.99,12942,19.12,1357,10.49,1760,13.6,7580,58.57,1806,13.95,439,3.39,26110,38.57,1012,3.88,1261,4.83,16282,62.36,6222,23.83,1333,5.11,26526,39.18,220,0.83,1223,4.61,6783,25.57,13809,52.06,4491,16.93,11415,16.86,7933,11.72,7983,11.79,8576,12.67,6326,9.34,4413,6.52,6777,10.01,3648,5.39,3232,4.77,1114,1.65,6284,9.28,734,706,0.43,3416,2.06,26023,15.72,135385,81.79,2123,3.14,12942,19.12,26110,38.57,26526,39.18,228000,238300,206400,177337,53293,2351,250,0,29774,17.99,723,0.44,131,0.08,0,0,134902,81.5,23519,34.74,1628,2.4,119,0.18,0,0,42435,62.68,474197341059.852,2777133.20830472
41,13,GA,Georgia,4329675,3830264,88.47,499411,11.53,2453159,64.05,554270,22.59,890611,36.3,414919,16.91,355248,14.48,154382,6.29,83729,3.41,1377105,35.95,491967,35.72,375497,27.27,218914,15.9,159079,11.55,77232,5.61,54416,3.95,1046237,27.32,1266108,33.06,633833,16.55,514327,13.43,231614,6.05,138145,3.61,1987,63133,1.46,324296,7.49,941348,21.74,3000898,69.31,6,6.8,4.7,2883154,66.59,175589,4.06,220201,5.09,389644,9,283482,6.55,377605,8.72,2453159,2103456,85.74,100485,4.1,14733,0.6,19235,0.78,24982,1.02,190268,7.76,1377105,498271,36.18,60510,4.39,174452,12.67,313218,22.74,219696,15.95,110958,8.06,776300,31.64,914911,37.3,619875,25.27,142073,5.79,335120,24.34,523298,38,422707,30.7,95980,6.97,518687,37.67,1111420,29.02,1438209,37.55,1042582,27.22,238053,6.22,43224,3.14,3492,8.08,4366,10.1,16845,38.97,17080,1151812.87,1441,3.33,243109,17.65,19009,7.82,21008,8.64,89397,36.77,109219,44.93,4476,1.84,513118,37.26,12355,2.41,25194,4.91,223396,43.54,232117,45.24,20056,3.91,577654,41.95,6594,1.14,17601,3.05,165496,28.65,341669,59.15,46294,8.01,243055,17.65,112488,8.17,113997,8.28,126978,9.22,130635,9.49,115886,8.42,207123,15.04,131158,9.52,92699,6.73,30819,2.24,72267,5.25,843,7751,0.32,31410,1.28,266022,10.84,2147976,87.56,43224,3.14,243109,17.65,513118,37.26,577654,41.95,190200,208900,157200,2699454,1086093,42286,2352,79,482467,19.67,9118,0.37,1048,0.04,0,0,1960526,79.92,603626,43.83,33168,2.41,1304,0.09,79,0.01,738928,53.66,215595408178.867,3660848.18982441
42,15,HI,Hawaii,546571,467932,85.61,78639,14.39,282037,60.27,58781,20.84,97230,34.47,46536,16.5,36767,13.04,19306,6.85,23417,8.3,185895,39.73,54855,29.51,51999,27.97,30420,16.36,23696,12.75,13773,7.41,11152,6,113636,24.28,149229,31.89,76956,16.45,60463,12.92,33079,7.07,34569,7.39,1978,31904,5.84,68285,12.49,143281,26.21,303101,55.46,4.8,5.4,3.9,293998,53.79,49424,9.04,33019,6.04,61350,11.22,107156,19.61,1624,0.3,282037,205517,72.87,19563,6.94,8394,2.98,14625,5.19,33252,11.79,686,0.24,185895,58362,31.4,26549,14.28,20016,10.77,34231,18.41,46107,24.8,630,0.34,51524,18.27,85465,30.3,126034,44.69,19014,6.74,30874,16.61,52327,28.15,87944,47.31,14750,7.93,102694,55.24,82398,17.61,137792,29.45,213978,45.73,33764,7.22,18401,9.9,1669,9.07,821,4.46,4053,22.03,11153,774018.55,705,3.83,35410,19.05,2927,8.27,1549,4.37,6091,17.2,23458,66.25,1385,3.91,62226,33.47,889,1.43,1073,1.72,5911,9.5,51415,82.63,2938,4.72,69858,37.58,796,1.14,1211,1.73,4577,6.55,56945,81.52,6329,9.06,13493,7.26,3146,1.69,4125,2.22,4950,2.66,7465,4.02,7887,4.24,24548,13.21,21888,11.77,34522,18.57,52514,28.25,11357,6.11,1497,5194,1.84,14069,4.99,56118,19.9,206656,73.27,18401,9.9,35410,19.05,62226,33.47,69858,37.58,636400,642400,622500,266763,183855,16139,980,195,89534,31.75,4623,1.64,229,0.08,91,0.03,187560,66.5,94321,50.74,11516,6.19,751,0.4,104,0.06,79203,42.61,19021938773.4961,2134288.36146015
43,19,IA,Iowa,1407819,1273941,90.49,133878,9.51,906967,71.19,216074,23.82,367181,40.48,123535,13.62,117440,12.95,54109,5.97,28628,3.16,366974,28.81,163174,44.46,98491,26.84,46329,12.62,32184,8.77,17642,4.81,9154,2.49,379248,29.77,465672,36.55,169864,13.33,149624,11.74,71751,5.63,37782,2.97,1973,22604,1.61,129652,9.21,387867,27.55,867696,61.63,6,6.7,4.2,1028753,73.07,57631,4.09,79452,5.64,104769,7.44,85337,6.06,51877,3.68,906967,818852,90.28,34942,3.85,7774,0.86,5948,0.66,5765,0.64,33686,3.71,366974,128318,34.97,18654,5.08,58773,16.02,83587,22.78,68455,18.65,9187,2.5,167157,18.43,155019,17.09,312965,34.51,271826,29.97,59759,16.28,78988,21.52,130805,35.64,97422,26.55,228227,62.19,226916,17.81,234007,18.37,443770,34.83,369248,28.98,15530,4.23,1059,6.82,3785,24.37,7715,49.68,2646,172905.9,325,2.09,90088,24.55,8519,9.46,17607,19.54,51243,56.88,11210,12.44,1509,1.68,152384,41.52,3021,1.98,8825,5.79,97061,63.7,36356,23.86,7121,4.67,108972,29.69,1130,1.04,4892,4.49,44343,40.69,45202,41.48,13405,12.3,92486,25.2,51701,14.09,50065,13.64,45180,12.31,30030,8.18,19986,5.45,27410,7.47,12270,3.34,9203,2.51,6283,1.71,22360,6.09,651,1660,0.18,20094,2.22,188439,20.78,696774,76.82,15530,4.23,90088,24.55,152384,41.52,108972,29.69,153900,162800,137000,979652,280809,12472,968,40,141844,15.64,3064,0.34,346,0.04,17,0,761696,83.98,138965,37.87,9408,2.56,622,0.17,23,0.01,217956,59.39,264809671487.031,2526449.78305913
44,16,ID,Idaho,737411,649299,88.05,88112,11.95,459428,70.76,99362,21.63,184385,40.13,64261,13.99,54544,11.87,30833,6.71,26043,5.67,189871,29.24,67383,35.49,53644,28.25,27472,14.47,21048,11.09,12747,6.71,7577,3.99,166745,25.68,238029,36.66,91733,14.13,75592,11.64,43580,6.71,33620,5.18,1984,14622,1.98,48217,6.54,167636,22.73,506936,68.75,6,6.6,4.4,542069,73.51,23971,3.25,48820,6.62,36223,4.91,27794,3.77,58534,7.94,459428,408090,88.83,11390,2.48,3424,0.75,1076,0.23,833,0.18,34615,7.53,189871,74131,39.04,10968,5.78,39699,20.91,28764,15.15,22340,11.77,13969,7.36,148553,32.33,126590,27.55,131384,28.6,52901,11.51,47036,24.77,57378,30.22,61182,32.22,24275,12.78,85457,45.01,195589,30.12,183968,28.33,192566,29.66,77176,11.89,8493,4.47,900,10.6,1672,19.69,4098,48.25,1451,62409.74,372,4.38,30003,15.8,2870,9.57,4881,16.27,17136,57.11,4221,14.07,895,2.98,76193,40.13,2029,2.66,4217,5.53,47710,62.62,19035,24.98,3202,4.2,75182,39.6,1108,1.47,2239,2.98,22295,29.65,41893,55.72,7647,10.17,31867,16.78,21765,11.46,22617,11.91,21433,11.29,20870,10.99,14444,7.61,22212,11.7,12166,6.41,7560,3.98,2821,1.49,12116,6.38,757,1587,0.35,8117,1.77,66186,14.41,383538,83.48,8493,4.47,30003,15.8,76193,40.13,75182,39.6,235600,243800,218000,473607,166422,8479,709,82,89553,19.49,2475,0.54,153,0.03,34,0.01,367213,79.93,76869,40.48,6004,3.16,556,0.29,48,0.03,106394,56.03,424674950676.113,4197452.17970864
45,39,OH,Ohio,5217090,4717226,90.42,499864,9.58,3128172,66.31,774662,24.76,1214621,38.83,469896,15.02,400770,12.81,175540,5.61,92683,2.96,1589054,33.69,682983,42.98,431488,27.15,217250,13.67,143777,9.05,68664,4.32,44892,2.83,1457645,30.9,1646109,34.9,687146,14.57,544547,11.54,244204,5.18,137575,2.92,1969,80794,1.55,484161,9.28,1350658,25.89,3301477,63.28,6,6.7,4.5,3596884,68.94,240057,4.6,440032,8.43,440994,8.45,306300,5.87,192823,3.7,3128172,2806178,89.71,122699,3.92,46417,1.48,23997,0.77,13607,0.43,115274,3.69,1589054,524801,33.03,95691,6.02,316410,19.91,359125,22.6,252826,15.91,40201,2.53,454480,14.53,674032,21.55,1255059,40.12,744601,23.8,173165,10.9,335055,21.09,663125,41.73,417709,26.29,1080834,68.02,627645,13.31,1009087,21.39,1918184,40.66,1162310,24.64,56829,3.58,7399,13.02,10190,17.93,28113,49.47,9842,600506.75,1285,2.26,368655,23.2,43703,11.85,50683,13.75,218639,59.31,48990,13.29,6640,1.8,660289,41.55,20959,3.17,31959,4.84,402823,61.01,178307,27,26241,3.97,503281,31.67,10193,2.03,18603,3.7,212842,42.29,214323,42.59,47320,9.4,356711,22.45,244859,15.41,240573,15.14,201504,12.68,141263,8.89,93068,5.86,117985,7.42,54125,3.41,36566,2.3,20914,1.32,81486,5.13,658,5032,0.16,41927,1.34,513384,16.41,2567829,82.09,56829,3.58,368655,23.2,660289,41.55,503281,31.67,151400,160500,132900,3514897,1154631,43974,3560,164,531675,17,10294,0.33,1578,0.05,144,0,2584481,82.62,622956,39.2,33680,2.12,1982,0.12,20,0,930416,58.55,183930632667.434,2538745.65172924
46,40,OK,Oklahoma,1740972,1493569,85.79,247403,14.21,986555,66.05,239918,24.32,376650,38.18,147468,14.95,124567,12.63,62096,6.29,35856,3.63,507014,33.95,192742,38.02,134474,26.52,76133,15.02,56005,11.05,28671,5.65,18989,3.75,432660,28.97,511124,34.22,223601,14.97,180572,12.09,90767,6.08,54845,3.67,1977,33163,1.9,152799,8.78,412517,23.69,1142493,65.62,5.6,6.1,4.5,1270019,72.95,35681,2.05,79461,4.56,124209,7.13,69014,3.96,162588,9.34,986555,877724,88.97,11946,1.21,2850,0.29,2126,0.22,1366,0.14,90543,9.18,507014,236815,46.71,19820,3.91,62169,12.26,99579,19.64,55902,11.03,32729,6.46,240012,24.33,261403,26.5,375908,38.1,109232,11.07,87685,17.29,138533,27.32,215286,42.46,65510,12.92,280796,55.38,327697,21.94,399936,26.78,591194,39.58,174742,11.7,19738,3.89,2206,11.18,3549,17.98,11178,56.63,2009,120804.06,796,4.03,106510,21.01,9832,9.23,13297,12.48,69884,65.61,10055,9.44,3442,3.23,178948,35.29,5139,2.87,11817,6.6,112449,62.84,36490,20.39,13053,7.29,201818,39.81,2934,1.45,8159,4.04,77901,38.6,87409,43.31,25415,12.59,122659,24.19,77135,15.21,71951,14.19,59262,11.69,42452,8.37,26024,5.13,35490,7,15184,2.99,8998,1.77,5153,1.02,42706,8.42,639,3337,0.34,17243,1.75,147713,14.97,818262,82.94,19738,3.89,106510,21.01,178948,35.29,201818,39.81,142400,157300,116500,1112562,362701,17448,812,46,164926,16.72,4820,0.49,378,0.04,34,0,816397,82.75,197775,39.01,12628,2.49,434,0.09,12,0,296165,58.41,274419363077.762,3307541.55552369
47,41,OR,Oregon,1788855,1642579,91.82,146276,8.18,1031006,62.77,224889,21.81,418831,40.62,157539,15.28,137392,13.33,55816,5.41,36539,3.54,611573,37.23,224383,36.69,187891,30.72,86952,14.22,62298,10.19,30506,4.99,19543,3.2,449272,27.35,606722,36.94,244491,14.88,199690,12.16,86322,5.26,56082,3.41,1979,60044,3.36,180827,10.11,480633,26.87,1067351,59.67,5.4,6.2,4.1,1132699,63.32,84492,4.72,124638,6.97,144785,8.09,157957,8.83,144284,8.07,1031006,865355,83.93,35244,3.42,9463,0.92,8166,0.79,9496,0.92,103282,10.02,611573,177567,29.03,43483,7.11,103271,16.89,124443,20.35,135485,22.15,27324,4.47,211349,20.5,280399,27.2,365494,35.45,173764,16.85,119308,19.51,177533,29.03,224467,36.7,90265,14.76,314732,51.46,330657,20.13,457932,27.88,589961,35.92,264029,16.07,45504,7.44,2983,6.56,3423,7.52,16934,37.21,21197,1378516.29,967,2.13,134993,22.07,7790,5.77,9873,7.31,50893,37.7,63746,47.22,2691,1.99,250665,40.99,3957,1.58,5583,2.23,74415,29.69,158573,63.26,8137,3.25,180411,29.5,1508,0.84,2729,1.51,28535,15.82,134269,74.42,13370,7.41,54195,8.86,28975,4.74,40325,6.59,46887,7.67,52055,8.51,54145,8.85,117467,19.21,83382,13.63,76629,12.53,32348,5.29,25165,4.11,1035,5832,0.57,25868,2.51,182805,17.73,816501,79.19,45504,7.44,134993,22.07,250665,40.99,180411,29.5,336700,349700,305000,1080029,525613,34127,2785,25,250024,24.25,6223,0.6,982,0.1,0,0,773777,75.05,275589,45.06,27904,4.56,1803,0.29,25,0,306252,50.08,485375909581.93,3848242.54979813
48,42,PA,Pennsylvania,5713345,5106601,89.38,606744,10.62,3522269,68.97,824651,23.41,1351148,38.36,568752,16.15,477849,13.57,195701,5.56,104168,2.96,1584332,31.03,696777,43.98,436392,27.54,205491,12.97,137586,8.68,66631,4.21,41455,2.62,1521428,29.79,1787540,35,774243,15.16,615435,12.05,262332,5.14,145623,2.85,1962,124503,2.18,585949,10.26,1290943,22.6,3711950,64.97,6.1,6.7,4.4,3264031,57.13,1060733,18.57,477364,8.36,328252,5.75,363501,6.36,219464,3.84,3522269,2647147,75.15,648983,18.43,45470,1.29,17660,0.5,30611,0.87,132398,3.76,1584332,308675,19.48,309263,19.52,355255,22.42,274451,17.32,292856,18.48,43832,2.77,452919,12.86,718368,20.4,1277186,36.26,1073796,30.49,150272,9.48,273964,17.29,600730,37.92,559366,35.31,1160096,73.22,603191,11.81,992332,19.43,1877916,36.77,1633162,31.98,86928,5.49,9521,10.95,10623,12.22,38890,44.74,26172,1535212.45,1722,1.98,434058,27.4,39751,9.16,44932,10.35,208702,48.08,133534,30.76,7139,1.64,556944,35.15,13625,2.45,24104,4.33,237415,42.63,256878,46.12,24922,4.47,506402,31.96,10183,2.01,19362,3.82,151472,29.91,271211,53.56,54174,10.7,279076,17.61,150512,9.5,169233,10.68,169716,10.71,149225,9.42,116855,7.38,197832,12.49,113934,7.19,92954,5.87,57038,3.6,87957,5.55,788,8112,0.23,62880,1.79,553891,15.73,2897386,82.26,86928,5.49,434058,27.4,556944,35.15,506402,31.96,187500,204300,163800,3711788,1337945,50979,5581,308,684906,19.45,12226,0.35,2297,0.07,178,0.01,2822662,80.14,653039,41.22,38753,2.45,3284,0.21,130,0.01,889126,56.12,205413367004.965,2192921.65502982
49,72,PR,Puerto Rico,1559976,1205749,77.29,354227,22.71,817399,67.79,213711,26.15,294729,36.06,155747,19.05,104024,12.73,35257,4.31,13931,1.7,388350,32.21,130338,33.56,103059,26.54,79820,20.55,51567,13.28,17867,4.6,5699,1.47,344049,28.53,397788,32.99,235567,19.54,155591,12.9,53124,4.41,19630,1.63,1975,30397,1.95,85789,5.5,314395,20.15,1129395,72.4,4.9,5,4.5,1073461,68.81,178983,11.47,96028,6.16,116072,7.44,90233,5.78,5199,0.33,817399,664986,81.35,78738,9.63,22441,2.75,22020,2.69,27100,3.32,2114,0.26,388350,191183,49.23,51749,13.33,43547,11.21,63751,16.42,37378,9.62,742,0.19,119483,14.62,281939,34.49,380647,46.57,35330,4.32,41912,10.79,110127,28.36,206921,53.28,29390,7.57,236311,60.85,161395,13.39,392066,32.52,587568,48.73,64720,5.37,11381,2.93,2897,25.45,3256,28.61,2269,19.94,457,37700.7,2502,21.98,38429,9.9,13374,34.8,9094,23.66,6017,15.66,676,1.76,9268,24.12,109605,28.22,17730,16.18,24357,22.22,21334,19.46,2662,2.43,43522,39.71,228935,58.95,19179,8.38,33030,14.43,64285,28.08,14752,6.44,97689,42.67,162394,41.82,28039,7.22,15812,4.07,9699,2.5,7016,1.81,3079,0.79,4686,1.21,1956,0.5,1413,0.36,1275,0.33,152981,39.39,383,5003,0.61,15937,1.95,113916,13.94,682543,83.5,11381,2.93,38429,9.9,109605,28.22,228935,58.95,111200,131700,95800,878512,310048,16218,934,37,190201,23.27,8520,1.04,630,0.08,23,0,618025,75.61,119847,30.86,7698,1.98,304,0.08,14,0,260487,67.08,9946138062.97852,1330222.1815939
50,44,RI,Rhode Island,469289,414730,88.37,54559,11.63,255450,61.59,58040,22.72,95578,37.42,43740,17.12,37247,14.58,14143,5.54,6702,2.62,159280,38.41,68850,43.23,43505,27.31,22642,14.22,14161,8.89,7088,4.45,3034,1.9,126890,30.6,139083,33.54,66382,16.01,51408,12.4,21231,5.12,9736,2.35,1958,12035,2.56,63575,13.55,141593,30.17,252086,53.72,5.4,6.2,4.1,259339,55.26,16816,3.58,109146,23.26,40269,8.58,39273,8.37,4446,0.95,255450,210302,82.33,10776,4.22,25204,9.87,3508,1.37,2875,1.13,2785,1.09,159280,23096,14.5,5063,3.18,66306,41.63,31343,19.68,32802,20.59,670,0.42,23904,9.36,54851,21.47,98803,38.68,77892,30.49,8978,5.64,26792,16.82,55288,34.71,68222,42.83,123510,77.54,32882,7.93,81643,19.69,154091,37.15,146114,35.23,9320,5.85,1993,21.38,951,10.2,3392,36.39,2751,161512.19,233,2.5,47119,29.58,7757,16.46,6748,14.32,17351,36.82,14194,30.12,1069,2.27,61080,38.35,2374,3.89,2756,4.51,18846,30.85,35016,57.33,2088,3.42,41761,26.22,813,1.95,1272,3.05,8259,19.78,28772,68.9,2645,6.33,27222,17.09,6592,4.14,11271,7.08,15583,9.78,18665,11.72,16456,10.33,24731,15.53,15436,9.69,11752,7.38,5537,3.48,6035,3.79,885,466,0.18,6969,2.73,60130,23.54,187885,73.55,9320,5.85,47119,29.58,61080,38.35,41761,26.22,276600,277100,275700,277288,132468,4324,545,105,65085,25.48,1117,0.44,190,0.07,0,0,189058,74.01,67383,42.3,3207,2.01,355,0.22,105,0.07,88230,55.39,5050308398.82031,1147556.87357382
51,45,SC,South Carolina,2319112,1961481,84.58,357631,15.42,1375391,70.12,347359,25.26,549513,39.95,213498,15.52,162895,11.84,69330,5.04,32796,2.38,586090,29.88,223788,38.18,163175,27.84,91257,15.57,61459,10.49,29124,4.97,17287,2.95,571147,29.12,712688,36.33,304755,15.54,224354,11.44,98454,5.02,50083,2.55,1986,36643,1.58,127165,5.48,550621,23.74,1604683,69.19,5.8,6.4,4.6,1479589,63.8,73173,3.16,105006,4.53,171533,7.4,120084,5.18,369727,15.94,1375391,1106974,80.48,39892,2.9,7805,0.57,13205,0.96,6850,0.5,200665,14.59,586090,199579,34.05,23370,3.99,77093,13.15,121699,20.76,64802,11.06,99547,16.98,449893,32.71,451513,32.83,391265,28.45,82720,6.01,135766,23.16,215127,36.71,189570,32.34,45627,7.78,235197,40.13,585659,29.86,666640,33.99,580835,29.61,128347,6.54,21476,3.66,2320,10.8,2450,11.41,9732,45.32,6169,404809.88,805,3.75,84700,14.45,8460,9.99,9747,11.51,39099,46.16,24623,29.07,2771,3.27,235183,40.13,6034,2.57,14655,6.23,121042,51.47,77708,33.04,15744,6.69,244731,41.76,2616,1.07,8644,3.53,87393,35.71,111785,45.68,34293,14.01,127079,21.68,66241,11.3,62654,10.69,54361,9.28,49584,8.46,39114,6.67,62820,10.72,33995,5.8,24288,4.14,12341,2.11,53613,9.15,717,3812,0.28,14159,1.03,191071,13.89,1166349,84.8,21476,3.66,84700,14.45,235183,40.13,244731,41.76,170100,192200,135000,1432534,509458,18081,1254,154,260726,18.96,3482,0.25,525,0.04,35,0,1110623,80.75,248732,42.44,14599,2.49,729,0.12,119,0.02,321911,54.93,116693382965.717,4502299.95178476
52,46,SD,South Dakota,396817,347878,87.67,48939,12.33,236495,67.98,54720,23.14,98255,41.55,30764,13.01,29396,12.43,15561,6.58,7799,3.3,111383,32.02,51605,46.33,28985,26.02,12555,11.27,8785,7.89,5574,5,3879,3.48,106325,30.56,127240,36.58,43319,12.45,38181,10.98,21135,6.08,11678,3.36,1979,7852,1.98,37055,9.34,109568,27.61,242342,61.07,6,6.9,4.2,266995,67.28,15086,3.8,21707,5.47,32713,8.24,25792,6.5,34524,8.7,236495,204211,86.35,8059,3.41,1712,0.72,1405,0.59,404,0.17,20704,8.75,111383,33286,29.88,5876,5.28,15964,14.33,27064,24.3,22734,20.41,6459,5.8,58491,24.73,50510,21.36,76861,32.5,50633,21.41,24123,21.66,29125,26.15,39208,35.2,18927,16.99,58135,52.19,82614,23.75,79635,22.89,116069,33.36,69560,20,5030,4.52,556,11.05,1405,27.93,2406,47.83,524,26205.21,139,2.76,25303,22.72,3091,12.22,5230,20.67,14361,56.76,2176,8.6,445,1.76,47672,42.8,1504,3.15,3626,7.61,31005,65.04,9284,19.47,2253,4.73,33378,29.97,846,2.53,2780,8.33,11863,35.54,12576,37.68,5313,15.92,30547,27.43,13723,12.32,15267,13.71,12622,11.33,10100,9.07,5966,5.36,8666,7.78,3290,2.95,1573,1.41,1479,1.33,8150,7.32,649,344,0.15,4598,1.94,45496,19.24,186057,78.67,5030,4.52,25303,22.72,47672,42.8,33378,29.97,174600,192500,154700,266938,76313,4188,369,70,37978,16.06,1200,0.51,131,0.06,0,0,197186,83.38,38335,34.42,2988,2.68,238,0.21,70,0.06,69752,62.62,391981684207.578,2963049.66934191
